Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,011041,Maximum wind gust speed,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,007006,Height above station,Height of a thermometer,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,012001,Temperature/air temperature,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,012003,Dewpoint temperature,,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,010052,Altimeter setting (QNH),,,,Operational
07,Surface report sequences (land),307011,(Main part of data for representation of METAR/SPECI code in BUFR),,020009,General weather indicator (TAF/METAR),,,,Operational
07,Surface report sequences (land),307012,(Horizontal visibility),,103000,Delayed replication of 3 descriptors,,,,Operational
07,Surface report sequences (land),307012,(Horizontal visibility),,031001,Delayed descriptor replication factor,Up to 3,,,Operational
07,Surface report sequences (land),307012,(Horizontal visibility),,008023,First-order statistics,,,,Operational
07,Surface report sequences (land),307012,(Horizontal visibility),,005021,Bearing or azimuth,Direction of visibility observed,,,Operational
07,Surface report sequences (land),307012,(Horizontal visibility),,020001,Horizontal visibility,,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,106000,Delayed replication of 6 descriptors,,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,031001,Delayed descriptor replication factor,Up to 4,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,001064,Runway designator,,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,008014,Qualifier for runway visual range,,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,020061,Runway visual range (RVR),,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,008014,Qualifier for runway visual range,,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,020061,Runway visual range (RVR),,,,Operational
07,Surface report sequences (land),307013,(Runway visual range),,020018,Tendency of runway visual range,,,,Operational
07,Surface report sequences (land),307014,(Significant present or forecast weather),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307014,(Significant present or forecast weather),,031001,Delayed descriptor replication factor,Up to 3,,,Operational
07,Surface report sequences (land),307014,(Significant present or forecast weather),,020019,Significant present or forecast weather,,,,Operational
07,Surface report sequences (land),307015,(Clouds group(s)),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307015,(Clouds group(s)),,031001,Delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307015,(Clouds group(s)),,302005,Cloud layer,"NsNsNs, CC, hshshs",,,Operational
07,Surface report sequences (land),307015,(Clouds group(s)),,020002,Vertical visibility,,,,Operational
07,Surface report sequences (land),307016,(Significant recent weather phenomena),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307016,(Significant recent weather phenomena),,031001,Delayed descriptor replication factor,Up to 3,,,Operational
07,Surface report sequences (land),307016,(Significant recent weather phenomena),,020020,Significant recent weather phenomena,,,,Operational
07,Surface report sequences (land),307017,(Wind shear on runway(s)),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307017,(Wind shear on runway(s)),,031001,Delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307017,(Wind shear on runway(s)),,011070,Designator of the runway affected by wind shear (including ALL),,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,008016,Change qualifier of a trend-type forecast or an aerodrome forecast,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,102000,Delayed replication of 2 descriptors,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,031001,Delayed descriptor replication factor,Up to 2,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,008017,Qualifier of the time when the forecast change is expected,"FM, TL, AT",,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,301012,"Hour, minute","GG, gg",,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,104000,Delayed replication of 4 descriptors,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,031001,Delayed descriptor replication factor,Up to 1,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,007006,Height above station,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,011001,Wind direction,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,011002,Wind speed,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,011041,Maximum wind gust speed,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,020009,General weather indicator (TAF/METAR),,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,101000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,031001,Delayed descriptor replication factor,Up to 1,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,020001,Horizontal visibility,,,,Operational
07,Surface report sequences (land),307018,(Trend-type landing forecast),,307014,Significant present or forecast weather,w´w´,,,Operational
07,Surface report sequences (land),307020,(Short METAR/SPECI),,307011,Main part of data for representation of METAR/SPECI code in BUFR,,,,Operational
07,Surface report sequences (land),307020,(Short METAR/SPECI),,307014,Significant present or forecast weather,w´w´,,,Operational
07,Surface report sequences (land),307020,(Short METAR/SPECI),,307016,Significant recent weather phenomena,REw´w´,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307011,Main part of data for representation of METAR/SPECI code in BUFR,,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307012,Horizontal visibility,DvVVVV,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307013,Runway visual range,DRDR/VRVRVRVR,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307014,Significant present or forecast weather,w´w´,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307015,Clouds group(s),,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307016,Significant recent weather phenomena,REw´w´,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307017,Wind shear on runway(s),,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307018,Trend-type landing forecast,,,,Operational
07,Surface report sequences (land),307021,(Total sequence for representation of METAR/SPECI code in BUFR),,307015,Clouds group(s),,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,001015,Station or site name,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,301011,"Year, month, day",,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,301012,"Hour, minute",,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,301022,"Latitude/longitude (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,008021,Time significance,= 23 Monitoring period,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,004025,Time period or displacement,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,010004,Pressure,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,012001,Temperature/air temperature,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,013003,Relative humidity,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,033038,Quality flags for ground-based GNSS data,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,008022,Total number (with respect to accumulation or average),Number of GNSS satellites used,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,106025,Replicate 6 descriptors 25 times,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,002020,Satellite classification,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,001050,Platform transmitter ID number,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,005021,Bearing or azimuth,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,007021,Elevation,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015031,Atmospheric path delay in satellite signal,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015032,Estimated error in atmospheric path delay,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,008060,Sample scanning mode significance,= 5 North/South,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015033,Difference in path delays for limb views at extremes of scan,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015034,Estimated error in path delay difference,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,008060,Sample scanning mode significance,= 6 East/West,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015033,Difference in path delays for limb views at extremes of scan,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015034,Estimated error in path delay difference,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015035,Component of zenith path delay due to water vapour,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,201131,Change data width,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,202129,Change scale,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,013016,Precipitable water,,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,202000,Change scale,Cancel,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,201000,Change data width,Cancel,,,Operational
07,Surface report sequences (land),307022,(Ground-based GNSS data),,015011,Log10 of integrated electron density,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,301150,WIGOS identifier,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,001015,Station or site name,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,001040,Processing centre ID code,GNSS processing centre,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,008021,Time significance,= 30 Time of occurrence,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,301011,"Year, month, day",,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,301013,"Hour, minute, second",,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,301022,"Latitude/longitude (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,010036,Geoid undulation,"Geoid height above WGS-84 ellipsoid, ±150 m to 1 cm",,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,025061,Software identification and version number,"GNSS processing software, software version",,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,010004,Pressure,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,012001,Temperature/air temperature,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),,013003,Relative humidity,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,120000,Delayed replication of 20 descriptors,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,031000,Short delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,025060,Software identification,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,008021,Time significance, = 2 Time averaged,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,004025,Time period or displacement,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,115000,Delayed replication of 15 descriptors,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,031001,Delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,015079,Zenith path delay due to neutral atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,015080,Estimated error in neutral atmosphere zenith path delay,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,008022,Total number (with respect to accumulation or average),,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,033093,Extended quality flags for ground-based GNSS data,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,015089,Zenith path delay due to neutral hydrostatic atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,015035,Component of zenith path delay due to water vapour,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,102002,Replicate 2 descriptors 2 times,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,008060,Sample scanning mode significance,= 5 north/south or =6 east/west,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,015083,GNSS derived neutral atmosphere gradient,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,201131,Change data width,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,202129,Change scale,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,013016,Precipitable water,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,202000,Change scale,Cancel,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,201000,Change data width,Cancel,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Zenith Total Delay,015011,Log10 of integrated electron density,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,131000,Delayed replication of 31 descriptors,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,031000,Short delayed descriptor replication factor,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,025060,Software identification,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,008021,Time significance,Set to missing,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,004025,Time period or displacement,= 0,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,033093,Extended quality flags for ground-based GNSS data,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,125000,Delayed replication of 25 descriptors,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,031001,Delayed descriptor replication factor,Number of GNSS satellites used,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,002020,Satellite classification,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,001050,Platform transmitter ID number,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,001150,Coordinate reference system,= 5 ECF coordinate system,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,202127,Change scale,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,304030,Location of platform,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,202000,Change scale,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,005021,Bearing or azimuth,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,007021,Elevation,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015038,Path delay due to neutral atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015039,Estimated error in neutral atmosphere path delay,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015090,Path delay due to neutral hydrostatic atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015081,Wet path delay due to neutral atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015082,Path integrated water vapour,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015079,Zenith path delay due to neutral atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015089,Zenith path delay due to neutral hydrostatic atmosphere,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015035,Component of zenith path delay due to water vapour,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,102002,Replicate 2 descriptors 2 times,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,008060,Sample scanning mode significance,= 5 north/south or = 6 east/west,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015083,GNSS derived neutral atmosphere gradient,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015084,GNSS least squares residual,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015085,GNSS multi-path delay,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015086,GNSS hydrostatic mapping function,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015087,GNSS wet mapping function,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015088,GNSS gradient mapping function,,,,Operational
07,Surface report sequences (land),307024,(Ground-based GNSS data - slant total delay),Slant Total Delay,015011,Log10 of integrated electron density,,,,Operational
07,Surface report sequences (land),307030,(Ozone data - single observation),,015001,Total ozone,,,,Operational
07,Surface report sequences (land),307030,(Ozone data - single observation),,015002,Air mass (slant path at 22 km),,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,008022,Total number (with respect to accumulation or average),Number of measurements,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,008023,First-order statistics,= 4 Mean value,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,015001,Total ozone,Average value of ozone measurement,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,008023,First-order statistics,= 9 Best estimate of standard deviation,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,015001,Total ozone,Best estimate of standard deviation of the ozone measurement,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,008023,First-order statistics,= 11 Harmonic mean,,,Operational
07,Surface report sequences (land),307031,(Ozone data - averaged observations),,015002,Air mass (slant path at 22 km),Harmonic mean value of the air-mass,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,301001,WMO block and station numbers,,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,001015,Station or site name,,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,301024,"Latitude/longitude (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,301011,"Year, month, day",Ozone measurement,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,301012,"Hour, minute",Ozone measurement,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,301070,Ozone instrumentation - Brewer spectrophotometer,,,,Operational
07,Surface report sequences (land),307041,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from a single observation),,307030,Ozone data - single observation,,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,301001,WMO block and station numbers,,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,001015,Station or site name,,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,301024,"Latitude/longitude (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,301011,"Year, month, day",Ozone measurement,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,301012,"Hour, minute",Ozone measurement,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,008021,Time significance,= 8 Ensemble mean,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,004025,Time period or displacement,Time period (minutes) for the computation of the average,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,301070,Ozone instrumentation - Brewer spectrophotometer,,,,Operational
07,Surface report sequences (land),307042,(Total ozone measurement from a Brewer ground-based spectrophotometer obtained from averaged observations),,307031,Ozone data - averaged observations,,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,301001,WMO block and station numbers,,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,001015,Station or site name,,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,301024,"Latitude/longitude (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,301011,"Year, month, day",Ozone measurement,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,301012,"Hour, minute",Ozone measurement,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,301074,Ozone instrumentation - Dobson spectrophotometer,,,,Operational
07,Surface report sequences (land),307043,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from a single observation),,307030,Ozone data - single observation,,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,301001,WMO block and station numbers,,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,001015,Station or site name,,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,301024,"Latitude/longitude (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,301011,"Year, month, day",Ozone measurement,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,301012,"Hour, minute",Ozone measurement,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,008021,Time significance,= 8 Ensemble mean,,,Operational
07,Surface report sequences (land),307044,(Total ozone measurement from a Dobson ground-based spectrophotometer obtained from averaged observations),,004025,Time period or displacement,Time period (minutes) for the computation of the average,,,Operational
