ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
12,Temperatura,012060,Temperatura interna del recinto de la EMA,K,1,0,12,°C,1,3,,,Operational
12,Temperatura,012061,Temperatura de la película superficial,K,1,0,12,°C,1,3,,,Operational
12,Temperatura,012062,Temperatura equivalente de cuerpo negro,K,1,0,12,°C,1,3,,,Operational
12,Temperatura,012063,Temperatura de lumicia,K,1,0,12,°C,1,3,,,Operational
12,Temperatura,012064,Temperatura del instrumento,K,1,0,12,K,1,4,,,Operational
12,Temperatura,012065,Desviación típica de la temperatura de lumicia,K,1,0,12,K,1,4,,,Operational
12,Temperatura,012066,Temperatura de la antena,K,2,0,16,°C,2,5,,,Operational
12,Temperatura,012070,Temperatura de carga caliente,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012071,Temperatura más fría de agrupación,K,1,0,12,K,1,4,,,Operational
12,Temperatura,012072,Radiancia,W m-2 sr-1,6,0,31,W m-2 sr-1,6,9,,,Operational
12,Temperatura,012075,Radiancia espectral,W m-3 sr-1,-3,0,16,W m-3 sr-1,-3,5,,,Operational
12,Temperatura,012076,Radiancia (véase la nota 2),W m-2 sr-1,3,0,16,W m-2 sr-1,3,5,,,Operational
12,Temperatura,012080,Parte real de la temperatura de brillo,K,2,-10000,16,K,2,5,,,Operational
12,Temperatura,012081,Parte imaginaria de la temperatura de brillo,K,2,-10000,16,K,2,5,,,Operational
12,Temperatura,012082,Exactitud radiométrica en píxeles,K,2,0,12,K,2,4,,,Operational
12,Temperatura,012101,Temperatura/temperatura del aire,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012102,Temperatura de bulbo húmedo,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012103,Temperatura de punto de rocío,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012104,Temperatura del aire a 2 m,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012105,Temperatura de termómetro húmedo a 2 m,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012106,Temperatura de punto de rocío a 2 m,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012107,Temperatura virtual,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012111,Temperatura máxima en altura y durante un período determinado,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012112,Temperatura mínima en altura y durante un período determinado,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012113,Temperatura mínima del suelo en el curso de las 12 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012114,Temperatura máxima a 2 m en el curso de las 12 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012115,Temperatura mínima a 2 m en el curso de las 12 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012116,Temperatura máxima a 2 m en el curso de las 24 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012117,Temperatura mínima a 2 m en el curso de las 24 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012118,Temperatura máxima en una altura determinada en el curso de las 24 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012119,Temperatura mínima en una altura determinada en el curso de las 24 horas precedentes,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012120,Temperatura del suelo,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012121,Temperatura mínima del suelo,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012122,Temperatura mínima del suelo de la noche anterior,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012128,Temperatura de la superficie de la carretera,K,2,0,16,°C,2,5,,,Operational
12,Temperatura,012129,Temperatura de la subsuperficie de la carretera,K,2,0,16,°C,2,5,,,Operational
12,Temperatura,012130,Temperatura del suelo,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012131,Temperatura de la nieve,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012132,Temperatura en la superficie del hielo,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012151,Desviación estándar de la temperatura media diaria,K,2,0,12,°C,2,4,,,Operational
12,Temperatura,012152,Temperatura media diaria más alta,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012153,Temperatura media diaria más baja,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012158,Temperatura delta equivalente de ruido durante la observación de un objetivo frío,K,2,0,12,°C,2,4,,,Operational
12,Temperatura,012159,Temperatura delta equivalente de ruido durante la observación de un objetivo caliente,K,2,0,12,°C,2,4,,,Operational
12,Temperatura,012161,Temperatura de la película superficial,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012162,Temperatura equivalente de cuerpo negro,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012163,Temperatura de lumicia,K,2,0,16,°C,2,4,,,Operational
12,Temperatura,012164,Temperatura del instrumento,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012165,Temperatura de brillo de luz solar directa,K,0,0,23,K,0,7,,,Operational
12,Temperatura,012166,Exactitud de la instantánea,K,1,-4000,13,K,1,4,,,Operational
12,Temperatura,012167,Exactitud radiométrica (polarización pura),K,1,0,9,K,1,3,,,Operational
12,Temperatura,012168,Exactitud radiométrica (polarización cruzada),K,1,0,9,K,1,3,,,Operational
12,Temperatura,012171,Temperatura más fría de agrupación,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012180,Temperatura de lumicia promedio a 12 micrones para todos los píxeles claros en el nadir,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012181,Temperatura de lumicia promedio a 11 micrones para todos los píxeles claros en el nadir,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012182,"Temperatura de lumicia promedio a 3,7 micrones para todos los píxeles claros en el nadir",K,2,0,16,K,2,5,,,Operational
12,Temperatura,012183,"Temperatura de lumicia promedio a 12 micrones para todos los píxeles claros, vista hacia adelante",K,2,0,16,K,2,5,,,Operational
12,Temperatura,012184,"Temperatura de lumicia promedio a 11 micrones para todos los píxeles claros, vista hacia adelante",K,2,0,16,K,2,5,,,Operational
12,Temperatura,012185,"Temperatura de lumicia promedio a a 3,7 micrones para todos los píxeles claros, vista hacia adelante",K,2,0,16,K,2,5,,,Operational
12,Temperatura,012186,Temperatura media de la superficie del mar en el nadir,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012187,Temperatura media de la superficie del mar en vista dual,K,2,0,16,K,2,5,,,Operational
12,Temperatura,012188,"Temperatura de lumicia interpolada a 23,8 GHz según MWR",K,2,0,16,K,2,5,,,Operational
12,Temperatura,012189,"Temperatura de lumicia interpolada a 36,5 GHz según MWR",K,2,0,16,K,2,5,,,Operational
